Name,Total Flights,Number of Seats,Seats per Departures,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
VOZ,296,37888,128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
IDR,1511,215376,142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,1.00,0.00,0.13,0.00,0.11,0.00,0.00,0.00,0.00,0.11,0.00,0.06,0.98,0.06,0.00,0.00
IDA,110,5890,53,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.00,0.00,0.00,0.00,0.00,0.19,0.11,0.00,0.33,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00
CGI,1254,11286,9,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.17,0.83,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CGH,53565,8378990,156,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.72,0.97,0.61,1.00,0.82,0.60,0.97,0.71,0.68,0.63,0.76,0.98,0.66,0.76,0.60,0.52,0.00
CGK,66177,10537181,159,0.12,0.15,0.00,0.00,0.08,1.00,0.56,0.47,0.66,0.55,0.65,0.81,0.26,0.62,0.56,0.69,0.66,0.88,0.66,0.61,0.23,0.16,0.16,0.28
PMW,1451,180116,124,0.00,0.00,0.00,0.00,0.41,1.00,0.00,0.00,0.00,0.00,0.00,0.02,0.28,0.23,0.00,0.53,0.23,0.17,0.84,0.00,0.00,0.00,0.00,0.00
CGO,19796,2771156,139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.85,0.20,0.81,0.80,0.95,0.97,0.64,1.00,0.55,0.77,0.66,0.74,0.99,0.49,0.26,0.00
CGN,4448,637690,143,0.00,0.00,0.00,0.00,0.07,0.04,1.00,0.65,0.51,0.23,0.60,0.60,0.25,0.26,0.34,0.38,0.15,0.26,0.86,0.28,0.28,0.00,0.00,0.00
CGB,10562,1341144,126,0.00,0.10,0.10,0.28,0.01,0.36,0.24,0.06,0.00,0.54,0.14,0.57,0.41,0.35,0.00,0.20,1.00,0.10,0.39,0.14,0.26,0.00,0.00,0.19
CGD,299,36430,121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.63,0.57,1.00,0.00
PMC,166,26216,157,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.18,0.18,1.00,0.00,0.21,0.66,0.28,0.00,0.00,0.80,0.39,0.00,0.10,0.00
CGQ,7880,1217984,154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,1.00,0.49,0.14,0.46,0.31,0.44,0.71,0.55,0.57,0.65,0.64,0.10,0.19,0.20,0.10,0.00
CGP,264,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGR,4511,625662,138,0.00,0.00,0.24,0.13,0.00,0.40,0.61,0.00,0.00,1.00,0.04,0.16,0.00,0.07,0.86,0.86,0.00,0.44,0.80,0.00,0.00,0.00,0.00,0.00
PMI,8103,977356,120,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.54,0.80,0.23,0.59,0.23,0.38,0.32,0.65,0.28,0.44,0.27,0.40,0.58,1.00,0.53,0.09,0.02
FEG,78,12324,158,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,1.00,0.00,0.00
CUU,585,44783,76,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.02,0.05,0.02,0.00,0.00,0.19,0.00,0.00,0.00,0.11,0.05,1.00,0.00,0.00,0.00,0.00
FEC,117,8190,70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FEN,760,87514,115,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.64,1.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00
CUZ,2430,334582,137,0.00,0.00,0.00,0.00,0.00,0.06,0.00,1.00,0.10,0.44,0.89,0.12,0.00,0.43,1.00,0.01,0.86,0.84,0.01,0.02,0.00,0.00,0.00,0.00
CUE,1107,135392,122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.69,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,0.00,0.00,0.00
